T_or_V,label,Chamber_temp,voltage_mV,power_mean,power_SD,power_iqr,power_skew,power_kurtosis,x_mean,x_SD,x_IQR,x_skew,x_kurtosis,y_mean,y_SD,y_IQR,y_skew,y_kurtosis,z_mean,z_SD,z_IQR,z_skew,z_kurtosis,board_temp_mean,board_temp_SD,board_temp_iqr,board_temp_skew,board_temp_kurtosis
T,1,18,2100,0.0574947165337,0.0261460847059,0.05449572,0.46054949676893153,-1.5234149720420762,0.0440030173498,3.67876127886,5.0,-0.01968049360994187,0.30016315072289723,-0.0556323862208,3.77555835775,5.12195121951,0.006515248127453816,-0.20639269314603714,0.197699270807,4.68759011517,5.9756097561,-0.14111449555187783,0.2946804295120784,nan,nan,nan,nan,nan
T,1,18,2100,0.0576636648878,0.0261826240099,0.05518035,0.4466260430578525,-1.5382654211001232,0.0797129065041,3.74343056259,4.90853658537,0.15773032794316344,0.24347601891497472,-0.0336636178862,3.69239676735,5.03048780488,0.00026722420131029346,-0.3524587811124249,0.124491869919,4.82133183569,7.10365853659,-0.17112640465055903,-0.25881334831566916,nan,nan,nan,nan,nan
T,1,18,2100,0.0576716198005,0.0261727034455,0.05491128,0.4465852872599204,-1.5367705549964643,-0.409475896326,3.94199998441,5.48780487805,0.04981071168557134,-0.17618530612228556,-0.39387378208,3.9598371751,5.36585365854,0.053523796969204555,-0.09556832762368783,0.731707317073,5.39166244345,5.60975609756,2.7420023461860112,29.349083244525836,nan,nan,nan,nan,nan
V,1,20,2100,0.0576881502743,0.0261630641348,0.05461741,0.44373520797763943,-1.54435049929949,0.0923299930674,3.70912674362,5.42682926829,0.11948667773123707,-0.04767988269247203,0.177097119808,3.65224909625,4.57317073171,-0.16545990267983154,0.4420541263340563,0.0482132728304,4.48051881251,6.46341463415,0.15926326420400477,-0.0016428575009492796,nan,nan,nan,nan,nan
V,1,20,2100,0.0578276263342,0.0260902673807,0.05830928,0.46233829972732415,-1.5363972929455356,0.1507191995,3.79300665552,5.21341463415,0.2057703065103086,-0.27387726759026476,0.0137585991245,3.87855729955,5.06097560976,-0.05098328448915858,0.028771380868788388,0.197623514697,4.53800671337,5.73170731707,-0.1498614908576343,-0.03846274858839838,nan,nan,nan,nan,nan
V,1,20,2100,0.0574472335162,0.026324329238,0.05616,0.4463707124490238,-1.5436812494108467,-0.252388735228,3.68812484816,4.90853658537,-0.10485803522572898,0.14407426503682386,0.141438270053,3.86146262616,5.36585365854,0.07069070584142903,-0.13219150281384984,0.468632134775,4.58634599383,6.09756097561,-0.06974408935312792,0.26957603443025846,nan,nan,nan,nan,nan
V,1,20,2100,0.0575413204489,0.0260681011258,0.05510171,0.4617637777966496,-1.5248018409168085,-0.25980911983,3.89864739536,5.24390243902,-0.21119005108831732,0.08382261607054176,-0.211153390306,3.53068563262,4.87804878049,0.01948068141742216,-0.20170666860729103,0.283513193188,4.33608947842,5.30487804878,0.1912912187938077,0.42248274482995596,nan,nan,nan,nan,nan
V,1,20,2100,0.0575729477556,0.0261367833942,0.05352327,0.4408393231544729,-1.5421472944664825,-0.135915099609,3.78489385612,5.0,0.01331953516928947,-0.31311221987689075,0.417364860672,3.66238178406,4.87804878049,0.12663429230688858,-0.3319966608047311,-0.199218022715,4.50865553232,6.21951219512,0.023154701161703244,-0.032725854897179385,nan,nan,nan,nan,nan
V,1,20,2100,0.0577834188529,0.0259757406489,0.05365116,0.4622809363126347,-1.523057910942154,0.0230037184093,3.89802106016,5.06097560976,-0.06877470203915056,0.1015818693410675,-0.0586122140291,3.58479390192,4.63414634146,0.06165226095990875,0.15023299670783574,0.0721623495305,4.50000180848,6.03658536585,0.0073161060089783425,0.10515783259635247,nan,nan,nan,nan,nan
V,1,20,2100,0.0548986074065,0.0276398471971,0.05401952,0.40858027813772574,-1.4036165543749863,-0.0454187826336,3.85193078737,4.87804878049,-0.292521040202235,0.2944923200536893,-0.0618696802804,3.73907741631,5.48780487805,-0.06000705628684005,-0.33488297954029633,-0.116944424576,4.25155569414,5.48780487805,-0.028634344244861488,0.34716220855118607,nan,nan,nan,nan,nan
V,1,20,2100,0.0577873667082,0.0261668907277,0.05453937,0.44470483815036527,-1.5405337036429971,-0.136674988797,3.92317150427,4.87804878049,-0.025041597427079412,0.10116980217975158,0.107867614109,3.77309762649,4.63414634146,-0.07449623833735029,-0.012214599760734579,0.0576147493758,4.44294981659,5.9756097561,0.04315443285327528,-0.016126126012763642,nan,nan,nan,nan,nan
V,1,20,2100,0.0577669086284,0.0262328407943,0.05518122,0.4411637893010653,-1.5466363268137424,0.260288649398,3.64089469743,5.06097560976,0.12625791641608794,-0.14358971358232342,-0.11943026407,3.45767956448,4.39024390244,-0.1123977622690091,0.11059841239897539,0.198525241066,4.17718453817,5.36585365854,-0.11989446668372399,0.43830718313860606,nan,nan,nan,nan,nan
V,1,20,2100,0.0577561558105,0.0261947762276,0.05532767,0.4434168477276899,-1.5398726516584644,-0.191098818205,3.95114373689,5.24390243902,-0.1712437889521321,-0.12975125190791204,-0.256789036963,3.73332466052,5.0,-0.08702287076201536,-0.121230736485606,0.169411616797,4.29555142651,5.9756097561,0.035670640022274026,-0.22526133532303083,nan,nan,nan,nan,nan
T,1,22,2100,0.0576806201247,0.0260112212357,0.05455391,0.45081599450030235,-1.5305499773756308,0.000947807405535,3.82394407484,4.7256097561,-0.22036927459740865,0.44380179902749983,-0.00600278023506,3.66490275956,4.35975609756,-0.05225373452252812,0.2659868624111832,0.0445469480602,4.50343218047,5.85365853659,-0.20154337418175353,0.4002653175526265,nan,nan,nan,nan,nan
T,1,22,2100,0.0578233653616,0.0260673148841,0.05581192,0.44860705063045747,-1.5446897709637393,-0.236617041495,3.87049218642,5.24390243902,0.017046356037993024,-0.3329819559568956,-0.30155210643,3.67106904075,5.12195121951,-0.05295494090938027,-0.014990025978578903,0.0272410516313,4.61017251125,6.46341463415,-0.07893565368737034,-0.2073869161015489,nan,nan,nan,nan,nan
T,1,22,2100,0.0575844841147,0.0260342759109,0.05373074,0.4595678396388869,-1.5261674202778512,-0.322117226408,3.61677451181,4.75609756098,-0.21426972048342863,0.1150983306654334,0.447899374282,3.50374948083,4.84756097561,-0.2299045779827257,0.06697045925386336,0.0217085940493,4.38348977867,6.18902439024,-0.08578036700886067,-0.13319410775515284,nan,nan,nan,nan,nan
T,1,22,2100,0.0578258345137,0.0260707198382,0.05596753,0.4505140174978554,-1.545088044940313,0.151420151734,3.92011798492,4.87804878049,0.05756343526863077,0.15838517049653822,0.00219449495266,3.76221962022,5.24390243902,-0.2537259079010831,-0.017438722207554047,0.336384726315,4.28402056174,5.36585365854,0.09482355880758517,0.2582657812777569,nan,nan,nan,nan,nan
T,1,22,2100,0.0578510196259,0.0260777119116,0.05571134,0.44549914906694454,-1.5434520490925312,0.0523543795849,3.91506294257,4.63414634146,0.028326145081971302,0.4447526438354621,0.286851840241,3.78541841413,5.12195121951,-0.07949612327143882,-0.31655222557973994,0.247977929651,4.22874997444,5.73170731707,-0.12500970444181542,0.07404245954973998,nan,nan,nan,nan,nan
T,1,22,2100,0.057524208005,0.0262179162551,0.05352036,0.4568150729950809,-1.5269558813280524,-0.0588617886179,3.79730138548,4.81707317073,0.13695899692037922,0.341266704233143,0.0692682926829,3.80840995132,5.12195121951,0.06700141773749671,-0.1184343520419806,-0.0390243902439,4.58143578335,6.28048780488,0.09837655720139687,-0.009203652062536705,nan,nan,nan,nan,nan
T,1,22,2100,0.0576835983791,0.0262453090347,0.05450918,0.43677395153686965,-1.5464287934064331,-0.117906918865,3.8873924831,5.12195121951,0.06875490140560517,-0.013545811369707117,-0.203459432554,3.5671922257,4.42073170732,-0.06572204891472898,0.06145239988722828,0.391052762568,4.39554781807,6.25,-0.09523238903527105,-0.16130895872705153,nan,nan,nan,nan,nan
T,1,22,2100,0.0577848487032,0.026142210897,0.05448996,0.44145663199356,-1.5415687368382671,-0.233818617256,3.8648740001,5.0,0.05371726592100987,0.06104265092074046,0.389172496376,3.82523851509,4.87804878049,0.09559893720467037,0.17383553329337342,0.130144324699,4.32553630577,5.73170731707,0.14277747202915345,-0.08009650419286274,nan,nan,nan,nan,nan
T,1,22,2100,0.0578461845137,0.0260582479925,0.05513241,0.4390610155467775,-1.5433360578623065,-0.281641818976,3.74389210169,5.48780487805,0.08363738121364657,-0.09345851661610238,0.0436653982908,3.46602145328,4.87804878049,-0.05195832389910016,-0.0518550169211327,0.101677998877,4.56238073519,6.34146341463,-0.09523400218902739,-0.10500033455147584,nan,nan,nan,nan,nan
T,1,22,2100,0.0575928834913,0.0260493386627,0.05389261,0.45955362977491365,-1.5254523979943047,-0.020843703335,4.00189777451,5.48780487805,-0.17894680305287375,-0.1757509224369045,-0.0740418118467,3.60988631581,5.0,-0.1472202123441967,-0.357833680447309,-0.197548531608,4.37429856945,5.57926829268,-0.05772899988066425,0.014335055610958491,nan,nan,nan,nan,nan
V,1,24,2100,0.0578027604489,0.0260314491698,0.05490298,0.4510972087025984,-1.5370244516732094,0.165304722101,3.68622992266,5.48780487805,0.06109413337379727,-0.05118364038855727,-0.0258873432724,3.44543628123,4.39024390244,0.02786974151011052,-0.2781577390730532,0.0923211278149,4.2404203179,5.60975609756,-0.11383709249844448,0.2177196351085886,nan,nan,nan,nan,nan
V,1,24,2100,0.0576185313716,0.026019369934,0.05383799,0.45593815650629926,-1.5291016299934466,-0.104218516675,3.771519049,5.0,-0.08633437494822593,0.1186021408262996,0.229591836735,3.6632135882,5.03048780488,-0.13618260921471464,-0.019732622986691428,0.117595818815,4.55598021746,6.73780487805,0.10568248580563351,-0.4269535183699529,nan,nan,nan,nan,nan
V,1,24,2100,0.0577188145885,0.0259907490816,0.05432436,0.45866344458929453,-1.5279223719160917,-0.0358866869919,3.7718712627,5.12195121951,-0.004246332624707086,-0.11265982142486575,0.334413109756,3.5636920503,4.2987804878,-0.42251954114465945,0.5133801539310925,0.0190548780488,4.42209216959,6.00609756098,-0.06188499773680119,-0.12992757348944606,nan,nan,nan,nan,nan
V,1,24,2100,0.0578823325686,0.0260051337714,0.05507414,0.44803022627321193,-1.5399782552969967,-0.0405456374151,3.66428447367,4.75609756098,-0.08419508321374822,0.31010330697942434,-0.352652753332,3.74388878971,5.12195121951,0.17791645780864365,-0.30655319954564675,-0.200213728941,4.37713344484,5.9756097561,-0.019913003651168777,0.12252631945952253,nan,nan,nan,nan,nan
V,1,24,2100,0.0576799725436,0.0260234169843,0.05506776,0.45348510894393085,-1.533534327259022,-0.327899452464,3.94887649632,5.64024390244,-0.059385172182027886,-0.35158126966162273,-0.0858636137382,3.73052044161,4.75609756098,0.22168460754146205,0.2199960666770373,0.204392732703,4.15441239436,5.73170731707,-0.10436655924599411,0.03395861489438623,nan,nan,nan,nan,nan
V,1,24,2100,0.0575991861347,0.026288292754,0.0577843,0.3873033697337724,-1.6148862065963663,0.026411895135,3.85939159084,5.12195121951,0.1745162696737277,0.08095305946117426,0.271292552498,3.63288873957,5.24390243902,-0.07193035385506927,-0.5014241536203046,0.207708360506,4.35336988479,5.94512195122,-0.15767900794190748,-0.027373867583825096,nan,nan,nan,nan,nan
V,1,24,2100,0.057794503591,0.026048746965,0.05454453,0.4444511110464338,-1.5411302661552368,0.264972545013,3.90460627341,5.48780487805,-0.19593314164450698,0.024970532867270023,0.067679734389,3.6863453059,4.63414634146,-0.05677139235268682,0.493295738485541,0.0453326522794,4.4091062409,5.79268292683,0.028732924092317882,0.1495083498968235,nan,nan,nan,nan,nan
V,1,24,2100,0.057764103192,0.0259893647609,0.05481633,0.45093999397754586,-1.5317883329978792,0.0136884021901,3.98720252205,5.67073170732,-0.15912395962134168,-0.4996315490729035,-0.231769537083,3.6049308212,4.42073170732,-0.2073073724504476,0.5250659039610692,0.0790194126431,4.40737894483,6.09756097561,0.111074170942186,-0.19754001763414752,nan,nan,nan,nan,nan
V,1,24,2100,0.0576702737656,0.0260160113161,0.05423659,0.4565671390370885,-1.530792108450417,-0.056597873671,3.72005295199,5.24390243902,-0.05006032879761618,0.02086782625501682,0.371169480926,3.77581596671,4.87804878049,0.05088286218279592,0.1485192531260484,0.187929956223,4.26016757069,5.57926829268,0.046257812804933185,-0.04653753118193915,nan,nan,nan,nan,nan
V,1,24,2100,0.0578404777057,0.0260620147762,0.05421151,0.44604265286802974,-1.5428494971930218,-0.144639818491,3.82556377044,5.42682926829,-0.06028033635099428,-0.44669853874289656,-0.256822335665,3.51461991854,4.93902439024,-0.11110626045338781,-0.2991140225405058,-0.0642843637739,4.47960936373,5.79268292683,0.07319742238631653,0.0012542384588383193,nan,nan,nan,nan,nan
T,1,30,2100,0.0580434592519,0.0258134125083,0.05487849,0.45156681025721795,-1.5294725213759155,0.274072662602,3.51799356805,4.78658536585,0.023333814825040322,-0.22582166236000623,0.0504954268293,3.5788188034,4.75609756098,0.0868990670674718,-0.17410768097819806,0.0247713414634,4.27641574355,5.2743902439,-0.07986877134012435,-0.014976945097910033,nan,nan,nan,nan,nan
T,1,30,2100,0.0579566515212,0.025829437988,0.05371775,0.4520502726722134,-1.5336990827109627,-0.141600648743,3.60636310663,4.63414634146,0.22623837631428087,0.27775059470933927,-0.0642505146279,3.39217883157,4.32926829268,0.04780430851775951,-0.20830958955076007,0.24327864762,4.39776622937,6.09756097561,0.06846244419048508,0.11556252423749003,nan,nan,nan,nan,nan
T,1,30,2100,0.0580328472319,0.0258155493899,0.05514629,0.45258592219963256,-1.537255984023228,-0.272908739318,3.80128675327,5.0,0.2138356808962421,-0.021026145329573254,0.0318133616119,3.45084147668,4.75609756098,0.10312317731736502,-0.001195786362361062,0.0913854407086,4.31427876164,5.18292682927,0.15392934921014675,0.0766123823610596,nan,nan,nan,nan,nan
T,1,30,2100,0.0579307693516,0.025769529716,0.05394159,0.45863926397904664,-1.525149778174822,-0.076726342711,3.88722994769,5.36585365854,0.23035806676292755,-0.17725646085808267,-0.0261992389745,3.59284352075,4.81707317073,-0.025522312688785197,-0.05670227688611096,-0.0106044538706,4.56285111617,5.79268292683,0.09140854311111295,0.026821728724053084,nan,nan,nan,nan,nan
T,1,30,2100,0.057974956409,0.0257320910921,0.05425961,0.46011957568080786,-1.5227086089345991,-0.0891181988743,3.56407514348,4.75609756098,-0.07337896917243798,-0.0018101714932496904,0.052220137586,3.9460773919,5.7012195122,0.13132464442286937,-0.1448971569900399,0.0312695434647,4.30845200708,5.82317073171,0.027445525838163027,-0.3698683660546429,nan,nan,nan,nan,nan
T,1,30,2100,0.056784361596,0.0258479978802,0.05440694,0.445873351522627,-1.5392090117926156,0.336395312005,3.68065605067,4.87804878049,-0.17918226752313401,-0.0856600833247736,0.111815014254,3.34498022056,4.63414634146,-0.32569216955357927,0.18083706811205458,-0.121000950269,4.37794787001,5.85365853659,-0.021381459947125175,-0.140128792361359,nan,nan,nan,nan,nan
T,1,30,2100,0.0566996504489,0.0258383437573,0.05442309,0.44765201408712924,-1.5373315190669992,-0.0248944349909,3.87616054426,4.87804878049,-0.05284155626150551,0.22131644218886004,-0.126678010966,3.56672695944,4.57317073171,0.06096714406970464,0.1361898205550669,0.32236717716,4.5287205147,6.28048780488,-0.08388816753791972,0.014803202075220234,nan,nan,nan,nan,nan
T,1,30,2100,0.0567062475062,0.0258472449052,0.05323651,0.4539967430246544,-1.5353299726403529,-0.00850822461713,3.75312646855,4.93902439024,-0.08252492905067461,0.7828615673589772,0.0428562425159,3.65735052894,4.81707317073,-0.1271931200407552,0.02479970776828111,-0.350097687023,4.21591602452,5.73170731707,-0.037469204693943825,-0.3524251974933277,nan,nan,nan,nan,nan
T,1,30,2100,0.056696227182,0.0258911251886,0.05430931,0.4486021978839077,-1.5390614951728767,-0.0383631713555,3.84934953337,5.24390243902,0.08465197638788585,-0.3499732075395121,0.268854095191,3.62214256149,4.63414634146,0.05514951865950549,0.3597130253605747,0.00748549684985,4.2598878496,5.73170731707,-0.04574508995601186,-0.22217586332312989,nan,nan,nan,nan,nan
T,1,30,2100,0.0567546581047,0.025827256415,0.05383755,0.45040528731456264,-1.5370578625876665,-0.218886804253,3.80289306627,4.63414634146,-0.04234559526815357,0.5213940135890014,-0.136960600375,3.74327593801,5.24390243902,0.007109984318895901,-0.30475517708096156,-0.0375234521576,4.22432043264,6.06707317073,-0.01479171699819429,-0.18899361378465596,nan,nan,nan,nan,nan
